sound_ID,emotion,intensity,Ave,Max,Min,range,Std,Grow_rate,temp
0707_2,Fear,2,68,70,67,1.732050808,3,0.044776119,1.659935691
0814_2,Sadness,4,67.33,71,64,3.511884584,7,0.109375,1.659935691
0817_2,Happiness,2,68,69,67,1.414213562,2,0.029850746,1.659935691
0818_2,Sadness,3,65,65,65,0,0,0,1.654935691
0889_2,Fear,6,84.5,86,83,2.121320344,3,0.036144578,1.604935691
0934_2,Sadness,4,86,86,86,0,0,0,1.604935691
1025_2,Happiness,3,87.67,92,85,3.785938897,7,0.082352941,1.604935691
1382_2,Sadness,1,98.5,100,97,2.121320344,3,0.030927835,1.609935691
0123_2,Fear,2,95,96,94,1.414213562,2,0.021276596,1.609935691
0149_2,Sadness,2,91,93,88,2.645751311,5,0.056818182,1.609935691
0175_2,Sadness,3,83.5,84,83,0.707106781,1,0.012048193,1.609935691
0200_2,Fear,4,81,82,80,1.414213562,2,0.025,1.609935691
0201_2,Happiness,4,81.5,82,81,0.707106781,1,0.012345679,1.619935691
0211_2,Happiness,6,88.33,90,86,2.081665999,4,0.046511628,1.619935691
0219_2,Fear,5,92.5,94,91,2.121320344,3,0.032967033,1.619935691
0294_2,Fear,4,96.5,97,96,0.707106781,1,0.010416667,1.619935691
0296_2,Fear,3,100,104,96,5.656854249,8,0.083333333,1.619935691
0297_2,Sadness,1,98,98,98,0,0,0,1.619935691
0298_2,Happiness,3,102,103,101,1.414213562,2,0.01980198,1.619935691
0299_2,Sadness,4,107,108,106,1.414213562,2,0.018867925,1.619935691
0323_2,Happiness,1,110.5,112,109,2.121320344,3,0.027522936,1.619935691
0324_2,Sadness,3,112,112,112,0,0,0,1.619935691
0332_2,Happiness,3,108.33,111,106,2.516611478,5,0.047169811,1.619935691
0334_2,Happiness,3,107,107,107,0,0,0,1.619935691
0336_2,Fear,6,104.5,105,104,0.707106781,1,0.009615385,1.619935691
